ID,TIPO DE DOCUMENTO,CARÁCTER DEL MATERIAL,TIPO DE OBRA,TITULO ,IDIOMA,AUTOR O CREADOR DE LA IMAGEN,AÑO,SERIE (NÚMERO DE CUADROS CAPTURADAS EN UN MISMO DIA),COLECCIÓN,"NOMBRE ESCENA, PERSONALES Y DESCRIPCIÓN",DESCRIPCIÓN FISICA,"DESCRIPCION DEL ORIGINAL (ESTADO DE CONSERVACION DEL ORIGINAL, TAMAÑO, BLANCO Y NEGRO Y/O COLOR, DIGITAL)","TIPO DE FOTO (NEGATIVO, POLAROID, DIAPOSITIVA, 6X6",COLECCIONISTA O PROPIETARIO DE LA FOTO,FUENTE,"MATERIA (GEOGRÁFICA, INSTITUCIONAL)",CRÉDITOS (Ejemplo: nombre fotógrafo),RELACIÓN CON OTROS FONDOS (INTERNOS),PALABRAS CLAVES,TESTIMONIO,CONTEXTO
F0020,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0021,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0022,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0023,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0024,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0025,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0026,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0027,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0028,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0029,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0030,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0031,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0032,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0033,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0034,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0035,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0036,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
F0037,Fotografía,,,,,,,,,,,,,Enzo Blondel,,,,,gráfica,,
